	emotions
10	[3, 3, 2, 2, 2, 2, 2, 1, 6, 1, 1, 5, 1, 6, 2, 1, 6, 2, 1, 2, 1, 1, 6, 3, 3, 6, 6, 6, 6, 5, 6, 6, 6, 1, 1, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 3, 1, 6, 1, 6, 2, 1, 1, 2, 6, 6, 2, 2, 6, 1, 6, 6, 6, 1, 6, 6, 1, 1, 6, 2, 2, 1, 6, 1, 1, 6, 3, 2, 3, 2, 6, 3, 6, 1, 2, 6, 2, 1, 2, 6, 6, 6, 2, 6, 6, 2, 2, 1, 5, 1]
11	[1, 1, 2, 6, 6, 6, 1, 2, 4, 3, 1, 6, 1, 1, 1, 1, 4, 6, 2, 1, 1, 6, 2, 1, 6, 2, 2, 2, 1, 1, 6, 2, 2, 1, 2, 3, 1, 1, 4, 2, 2, 2, 2, 1, 4, 2, 2, 1, 1, 2, 1, 6, 2, 1, 6, 6, 3, 1, 2, 1, 1, 2, 1, 1, 1, 6, 1, 2, 2, 1, 2, 1, 1, 1, 6, 4, 1, 1, 6, 6, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 6, 6, 6, 1, 6, 6]
12	[2, 2, 1, 1, 1, 1, 3, 3, 1, 1, 1, 2, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 6, 6, 2, 2, 3, 1, 1, 3, 3, 1, 1, 3, 6, 2, 1, 1, 4, 4, 2, 6, 6, 6, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 6, 6, 1, 2, 2, 2, 2, 5, 2, 1, 2, 2, 1, 4, 2, 1, 1, 4, 1, 2, 2, 1, 1, 6, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1]
13	[2, 6, 1, 2, 6, 2, 6, 6, 2, 2, 2, 1, 2, 3, 2, 6, 6, 1, 2, 2, 3, 3, 3, 1, 1, 6, 2, 6, 5, 6, 2, 2, 2, 1, 3, 2, 2, 1, 6, 1, 3, 2, 6, 2, 3, 3, 2, 6, 6, 2, 1, 2, 6, 1, 6, 6, 1, 1, 6, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 5, 6, 2, 2, 6, 2, 2, 3, 2, 3, 1, 2, 2, 6, 1, 1, 2, 3, 1, 3, 2, 1, 1, 2, 2, 2, 5, 6, 6]
14	[1, 2, 2, 2, 1, 4, 2, 3, 1, 6, 6, 6, 2, 2, 1, 2, 2, 3, 2, 1, 2, 6, 2, 6, 6, 3, 2, 1, 6, 2, 2, 6, 2, 6, 2, 3, 6, 6, 2, 3, 6, 2, 6, 6, 1, 2, 2, 6, 2, 6, 3, 2, 2, 3, 1, 6, 2, 2, 6, 2, 6, 2, 1, 2, 1, 3, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 5, 2, 6, 6, 1, 6, 6, 6, 2, 6, 3, 2, 6, 2, 1, 3, 3, 2, 2, 6, 1, 2, 6, 6]
15	[3, 3, 2, 3, 1, 6, 1, 3, 1, 2, 2, 3, 3, 3, 1, 2, 2, 3, 3, 6, 6, 1, 3, 3, 3, 6, 2, 6, 6, 5, 3, 2, 3, 1, 2, 2, 2, 3, 1, 2, 6, 6, 5, 6, 2, 2, 3, 2, 2, 3, 6, 2, 5, 2, 5, 3, 3, 1, 2, 2, 2, 2, 2, 3, 2, 4, 6, 6, 5, 2, 5, 2, 3, 6, 3, 4, 2, 6, 1, 3, 5, 1, 2, 5, 6, 1, 2, 2, 1, 3, 3, 6, 2, 2, 6, 2, 6, 1, 4, 6]
16	[3, 2, 1, 6, 3, 5, 6, 6, 6, 2, 2, 5, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 6, 6, 2, 1, 6, 2, 6, 6, 3, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 1, 2, 1, 1, 2, 4, 2, 2, 2, 2, 2, 6, 2, 4, 2, 6, 3, 3, 1, 1, 1, 1, 6, 6, 3, 6, 2, 6, 3, 6, 6, 2, 6, 2, 2, 3, 2, 3, 2, 2, 2, 3, 2, 1, 2, 1, 6, 5, 1, 2]
17	[2, 1, 2, 1, 6, 1, 6, 2, 2, 6, 6, 3, 2, 1, 2, 1, 4, 3, 1, 6, 6, 6, 1, 1, 1, 1, 6, 6, 1, 1, 6, 3, 4, 2, 6, 3, 3, 1, 2, 1, 3, 2, 5, 3, 2, 1, 2, 6, 3, 1, 2, 6, 4, 2, 3, 6, 2, 2, 2, 3, 3, 1, 6, 3, 3, 2, 6, 3, 6, 3, 3, 6, 6, 1, 6, 2, 6, 2, 3, 2, 1, 1, 6, 3, 2, 2, 2, 3, 6, 1, 6, 6, 6, 1, 1, 6, 1, 1, 1, 2]
18	[6, 3, 3, 1, 6, 6, 2, 2, 6, 4, 2, 2, 6, 6, 6, 6, 1, 6, 3, 6, 2, 6, 6, 3, 6, 3, 3, 6, 6, 6, 2, 2, 2, 4, 6, 1, 4, 6, 6, 2, 6, 2, 1, 2, 3, 3, 6, 6, 6, 6, 1, 2, 2, 3, 6, 6, 3, 3, 6, 1, 1, 6, 6, 2, 1, 3, 6, 1, 3, 2, 6, 2, 1, 2, 3, 1, 6, 1, 2, 2, 3, 6, 4, 6, 6, 3, 2, 6, 3, 1, 6, 3, 2, 6, 6, 6, 1, 4, 6, 6]
19	[6, 3, 6, 2, 2, 2, 5, 3, 1, 3, 6, 1, 3, 6, 2, 3, 3, 1, 3, 1, 3, 1, 3, 6, 3, 3, 3, 3, 3, 3, 6, 3, 3, 1, 2, 6, 6, 1, 2, 3, 2, 2, 6, 6, 3, 2, 2, 2, 2, 2, 2, 6, 3, 2, 6, 1, 1, 2, 6, 3, 6, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 3, 1, 3, 3, 1, 1, 3, 2, 3, 3, 1, 1, 1, 2, 2, 1, 6, 6, 6, 1, 1, 1, 1, 3, 3, 3, 1, 6]
20	[2, 3, 6, 2, 1, 1, 1, 1, 3, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 3, 2, 2, 1, 3, 4, 6, 3, 6, 1, 4, 6, 3, 1, 1, 2, 1, 1, 1, 3, 3, 6, 1, 6, 1, 3, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 3, 6, 2, 1, 1, 2, 1, 1, 1, 5, 2, 6, 1, 1, 2, 6, 1, 1, 6, 5, 2, 6, 1, 2, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 3, 6, 1]
21	[1, 6, 6, 2, 6, 2, 2, 2, 1, 2, 6, 2, 1, 2, 6, 6, 2, 2, 4, 2, 2, 2, 2, 2, 6, 1, 6, 2, 2, 6, 3, 6, 1, 2, 1, 6, 2, 2, 3, 6, 3, 2, 6, 2, 4, 3, 1, 2, 6, 1, 2, 6, 1, 2, 2, 6, 1, 2, 1, 2, 6, 1, 1, 2, 1, 4, 1, 2, 6, 2, 2, 2, 2, 6, 1, 6, 1, 6, 6, 2, 6, 2, 2, 2, 2, 6, 2, 6, 2, 2, 6, 2, 2, 2, 1, 2, 2, 2, 2, 6]
22	[2, 2, 2, 2, 6, 3, 6, 6, 6, 1, 5, 3, 2, 1, 2, 2, 4, 2, 2, 2, 6, 6, 1, 2, 1, 6, 1, 1, 2, 6, 6, 1, 1, 6, 2, 2, 6, 2, 2, 6, 2, 1, 2, 6, 2, 1, 3, 3, 2, 3, 2, 2, 6, 2, 1, 1, 1, 6, 1, 6, 1, 1, 6, 2, 2, 3, 1, 1, 1, 2, 2, 5, 2, 1, 3, 6, 2, 3, 6, 3, 6, 6, 2, 2, 3, 5, 1, 3, 2, 3, 6, 6, 5, 2, 6, 2, 1, 3, 3, 1]
23	[2, 2, 1, 1, 4, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 3, 1, 2, 3, 1, 1, 2, 2, 3, 2, 6, 1, 1, 2, 2, 3, 2, 1, 1, 1, 1, 3, 6, 3, 1, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 6, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 3, 2, 1, 3, 2, 2, 2, 2, 1, 6, 2, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1]
24	[1, 1, 1, 6, 1, 1, 1, 2, 6, 1, 6, 1, 1, 3, 1, 1, 6, 6, 1, 6, 1, 3, 3, 1, 1, 1, 1, 1, 5, 1, 6, 6, 1, 6, 2, 6, 1, 1, 2, 1, 1, 6, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 2, 6, 1, 1, 1, 1, 1, 6, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 6, 1, 1, 4, 1, 3, 1, 1, 1, 1, 2]
25	[2, 1, 3, 6, 1, 2, 2, 6, 2, 2, 6, 6, 2, 6, 3, 2, 1, 3, 6, 2, 1, 2, 1, 2, 2, 3, 2, 3, 2, 2, 1, 2, 3, 6, 2, 2, 1, 2, 1, 6, 6, 2, 2, 3, 2, 2, 6, 2, 6, 1, 2, 1, 1, 6, 2, 2, 3, 3, 2, 3, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 2, 6, 6, 6, 2, 2, 1, 6, 2, 3, 1, 6, 6, 1, 1, 6, 2, 3, 2, 6, 2, 2, 2, 2, 1, 3, 1, 3, 6, 6]
26	[1, 2, 1, 1, 4, 3, 2, 6, 2, 2, 6, 1, 2, 1, 3, 2, 3, 2, 2, 2, 2, 2, 4, 3, 3, 2, 2, 3, 1, 1, 6, 1, 1, 2, 1, 1, 6, 3, 1, 6, 6, 6, 2, 2, 2, 1, 6, 2, 1, 3, 3, 1, 3, 1, 1, 2, 6, 2, 6, 2, 1, 1, 1, 2, 4, 2, 2, 6, 3, 2, 6, 2, 1, 4, 1, 1, 6, 2, 6, 6, 6, 1, 6, 1, 2, 6, 1, 2, 6, 6, 3, 1, 2, 6, 6, 6, 2, 1, 2, 2]
27	[2, 1, 1, 2, 2, 2, 1, 6, 6, 6, 2, 1, 2, 2, 2, 2, 3, 2, 2, 3, 2, 1, 6, 6, 6, 2, 3, 1, 1, 2, 6, 3, 2, 1, 2, 3, 6, 4, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 4, 3, 2, 4, 6, 3, 1, 2, 2, 1, 1, 2, 1, 3, 3, 1, 3, 2, 2, 5, 5, 6, 6, 2, 2, 6, 1, 2, 1, 1, 2, 2, 2, 1, 2, 6, 2]
28	[6, 6, 6, 6, 1, 6, 6, 6, 4, 1, 6, 1, 5, 2, 6, 1, 1, 2, 2, 2, 1, 6, 2, 2, 3, 2, 6, 1, 2, 6, 1, 2, 2, 1, 1, 3, 3, 6, 3, 4, 2, 1, 6, 2, 2, 2, 6, 6, 6, 6, 4, 4, 4, 6, 3, 2, 5, 1, 2, 6, 3, 1, 6, 1, 6, 6, 3, 6, 1, 1, 1, 6, 1, 1, 3, 2, 6, 2, 6, 6, 6, 1, 2, 2, 1, 6, 6, 1, 1, 1, 6, 1, 1, 2, 2, 2, 3, 1, 2, 6]
29	[2, 1, 1, 6, 2, 6, 2, 1, 6, 2, 2, 2, 2, 1, 6, 1, 1, 1, 6, 2, 2, 4, 6, 6, 6, 1, 6, 1, 1, 1, 1, 2, 1, 1, 2, 3, 2, 6, 1, 1, 2, 1, 1, 1, 2, 1, 6, 4, 3, 2, 2, 1, 1, 2, 1, 1, 1, 4, 1, 6, 6, 1, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 6, 1, 1, 1, 1, 6, 1, 1, 1, 1, 3, 3, 3, 3, 6, 1, 1, 1, 1, 6, 3, 4, 1, 3, 6, 1, 2]
30	[3, 2, 3, 2, 2, 2, 3, 6, 1, 6, 6, 1, 6, 2, 6, 2, 6, 1, 1, 6, 1, 2, 6, 6, 6, 2, 5, 2, 6, 2, 2, 4, 1, 1, 1, 1, 2, 2, 2, 3, 1, 2, 2, 4, 3, 2, 6, 2, 3, 2, 2, 2, 2, 2, 1, 6, 2, 2, 1, 2, 2, 1, 1, 1, 2, 3, 2, 2, 3, 6, 1, 2, 2, 6, 1, 1, 6, 6, 2, 3, 2, 1, 3, 6, 2, 1, 1, 3, 2, 6, 6, 2, 1, 1, 6, 2, 3, 6, 2, 2]
31	[1, 1, 3, 6, 6, 6, 6, 6, 6, 1, 6, 3, 6, 2, 2, 6, 2, 6, 2, 2, 6, 6, 2, 3, 3, 5, 6, 3, 5, 6, 2, 3, 6, 3, 6, 3, 2, 6, 3, 6, 6, 2, 2, 1, 1, 2, 1, 6, 6, 2, 2, 3, 4, 2, 6, 1, 6, 6, 3, 6, 6, 1, 6, 5, 1, 1, 2, 6, 1, 3, 1, 6, 2, 3, 1, 2, 2, 1, 6, 6, 2, 4, 6, 1, 3, 2, 2, 5, 5, 1, 1, 1, 1, 3, 1, 2, 6, 6, 3, 5]
32	[6, 2, 6, 2, 6, 3, 3, 6, 6, 2, 6, 6, 6, 2, 6, 2, 2, 1, 2, 4, 6, 1, 1, 2, 1, 3, 2, 1, 6, 3, 6, 3, 2, 1, 2, 6, 3, 2, 3, 4, 1, 6, 6, 2, 6, 6, 2, 1, 6, 2, 2, 2, 2, 2, 2, 6, 3, 6, 6, 1, 6, 2, 1, 4, 1, 4, 4, 2, 2, 2, 5, 6, 2, 1, 3, 3, 6, 6, 2, 6, 3, 6, 4, 6, 6, 3, 6, 6, 1, 1, 1, 2, 1, 4, 1, 1, 1, 5, 1, 4]
33	[2, 1, 1, 6, 4, 1, 2, 6, 6, 1, 4, 1, 1, 2, 2, 2, 2, 6, 6, 3, 3, 1, 1, 2, 2, 2, 6, 3, 6, 6, 6, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 2, 4, 6, 1, 1, 1, 1, 6, 1, 2, 6, 1, 3, 3, 2, 1, 1, 1, 6, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 3, 6, 6, 4, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 6, 1, 3]
34	[2, 1, 3, 3, 6, 3, 2, 3, 2, 2, 6, 3, 2, 6, 2, 3, 6, 3, 2, 2, 6, 2, 1, 3, 2, 2, 2, 3, 2, 3, 6, 3, 2, 2, 2, 1, 3, 2, 2, 6, 2, 1, 3, 3, 2, 2, 2, 2, 6, 1, 2, 6, 3, 1, 2, 1, 6, 2, 3, 3, 2, 1, 2, 2, 2, 3, 3, 3, 6, 6, 1, 2, 1, 2, 2, 2, 1, 3, 2, 6, 6, 2, 2, 2, 2, 2, 3, 6, 3, 1, 2, 3, 4, 2, 2, 1, 3, 1, 2, 2]
35	[6, 2, 6, 2, 2, 5, 1, 3, 2, 5, 2, 3, 4, 6, 2, 6, 6, 6, 2, 2, 3, 2, 2, 2, 2, 3, 6, 1, 6, 2, 4, 1, 1, 2, 2, 2, 6, 3, 5, 2, 2, 2, 6, 5, 1, 3, 2, 6, 6, 3, 6, 2, 2, 6, 6, 1, 1, 1, 6, 6, 4, 2, 4, 1, 2, 6, 2, 3, 4, 1, 3, 2, 2, 3, 6, 4, 6, 5, 1, 5, 3, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 6, 6, 2, 3, 6, 4, 2, 5, 2]
36	[3, 6, 6, 3, 1, 2, 2, 1, 1, 1, 2, 2, 2, 6, 2, 1, 1, 2, 2, 1, 1, 1, 6, 6, 3, 1, 1, 3, 2, 2, 1, 1, 3, 2, 1, 3, 1, 1, 6, 1, 3, 3, 6, 3, 1, 6, 1, 4, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 6, 4, 3, 5, 6, 3, 2, 1, 1, 5, 1, 1, 3, 4, 1, 3, 1, 3, 3, 1, 1, 1, 1, 6, 3, 1, 2, 6, 2, 2, 3, 1, 1, 1, 1, 3]
37	[1, 1, 2, 2, 3, 2, 2, 1, 1, 2, 2, 5, 5, 2, 1, 2, 2, 5, 3, 3, 6, 6, 2, 2, 1, 6, 3, 2, 2, 2, 1, 3, 2, 2, 1, 2, 2, 2, 5, 1, 6, 1, 2, 3, 1, 2, 4, 6, 1, 2, 3, 3, 2, 6, 3, 1, 3, 6, 3, 2, 1, 3, 2, 2, 6, 6, 2, 3, 2, 3, 6, 1, 6, 1, 1, 6, 1, 1, 6, 1, 6, 6, 1, 1, 2, 1, 2, 6, 6, 3, 3, 1, 1, 1, 1, 3, 3, 4, 6, 6]
38	[1, 1, 6, 1, 2, 6, 3, 2, 2, 6, 2, 2, 3, 6, 6, 6, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 3, 1, 6, 1, 2, 3, 1, 1, 1, 2, 2, 2, 6, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 6, 2, 2, 1, 3, 2, 2, 6, 2, 2, 2, 6, 2, 2, 6, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 6, 2, 6, 2, 2, 3, 1, 6, 1, 2, 3, 1, 6, 1]
39	[2, 2, 6, 2, 2, 1, 6, 6, 6, 3, 6, 5, 2, 1, 1, 6, 6, 5, 2, 4, 3, 6, 5, 6, 1, 2, 3, 6, 3, 6, 6, 6, 6, 6, 3, 2, 3, 3, 2, 1, 1, 2, 1, 1, 3, 6, 2, 6, 6, 1, 1, 6, 6, 2, 2, 2, 2, 1, 1, 2, 3, 1, 2, 2, 3, 5, 2, 5, 6, 1, 1, 6, 2, 1, 1, 3, 1, 6, 3, 2, 6, 6, 2, 6, 2, 2, 1, 6, 6, 1, 1, 6, 1, 5, 1, 1, 1, 6, 1, 1]
40	[2, 2, 2, 6, 2, 2, 2, 6, 2, 2, 5, 2, 2, 6, 6, 1, 1, 1, 2, 3, 1, 6, 2, 1, 2, 1, 1, 2, 3, 1, 1, 3, 3, 1, 2, 2, 2, 6, 1, 1, 2, 1, 3, 2, 3, 6, 1, 6, 2, 2, 1, 1, 2, 6, 6, 1, 5, 3, 6, 2, 1, 3, 2, 3, 2, 2, 1, 6, 5, 3, 2, 3, 2, 1, 6, 3, 2, 1, 6, 6, 2, 5, 6, 1, 2, 3, 2, 1, 1, 3, 1, 2, 2, 1, 1, 2, 1, 1, 6, 6]
41	[6, 3, 2, 6, 6, 2, 2, 3, 2, 2, 6, 3, 1, 2, 2, 6, 1, 6, 1, 1, 2, 6, 1, 6, 2, 2, 6, 2, 2, 3, 6, 6, 6, 1, 6, 1, 1, 6, 3, 6, 6, 6, 2, 6, 6, 3, 6, 6, 5, 6, 2, 6, 6, 6, 6, 6, 2, 1, 6, 5, 6, 5, 6, 6, 2, 6, 6, 3, 6, 6, 1, 6, 6, 4, 1, 5, 6, 2, 6, 3, 2, 3, 6, 1, 2, 6, 2, 1, 2, 6, 2, 1, 2, 6, 6, 2, 6, 6, 6, 6]
42	[1, 2, 2, 2, 6, 6, 2, 1, 6, 6, 2, 1, 2, 2, 2, 4, 6, 6, 6, 3, 6, 6, 6, 1, 6, 1, 6, 2, 6, 2, 2, 2, 2, 3, 2, 2, 3, 2, 6, 1, 3, 2, 2, 4, 6, 2, 1, 2, 6, 2, 3, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 3, 3, 1, 2, 2, 2, 2, 1, 4, 6, 2, 2, 6, 2, 3, 1, 2, 2, 1, 2, 6, 2, 2, 6, 2, 5, 2, 2, 2, 2, 2, 2, 3, 2, 6, 2, 1]
43	[1, 2, 1, 1, 4, 3, 2, 1, 2, 4, 2, 1, 2, 2, 1, 1, 2, 3, 1, 3, 6, 2, 1, 1, 1, 2, 2, 3, 2, 1, 1, 2, 1, 4, 3, 6, 2, 1, 2, 2, 2, 1, 1, 3, 6, 6, 1, 1, 2, 2, 1, 2, 2, 2, 1, 3, 6, 1, 1, 5, 2, 1, 1, 2, 1, 1, 2, 1, 1, 6, 1, 3, 2, 6, 6, 3, 4, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1]
44	[2, 2, 3, 6, 2, 2, 1, 6, 2, 1, 3, 3, 1, 6, 1, 3, 1, 1, 6, 1, 3, 2, 3, 1, 1, 1, 1, 1, 2, 2, 2, 6, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 6, 2, 1, 2, 2, 6, 2, 3, 1, 2, 6, 2, 1, 1, 2, 1, 1, 1, 1, 2, 5, 1, 6, 3, 6, 1, 3, 3, 2, 1, 1, 1, 2, 3, 1, 1, 2, 2, 1, 6, 1, 2, 2, 2, 1, 6, 3, 1, 2, 1, 3, 1, 2, 3, 1, 1, 2, 2]
45	[1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 6, 4, 1, 2, 1, 2, 1, 2, 1, 2, 3, 2, 6, 1, 6, 1, 6, 1, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 4, 3, 3, 3, 1, 6, 1, 2, 1, 2, 1, 6, 2, 1, 6, 2, 1, 1, 6, 2, 2, 2, 1, 1, 1, 2, 4, 1, 1, 2, 1, 6, 6, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2]
